product_name,manufacturer,product_price,stock,total_reviews,rating,main_category,sub_category_1,sub_category_2,sub_category_3
20Pcs Single-Head Model Garden Lights Lamppost Lamp Layout Scale: 1/100--Black,Generic,2.98,6.0,4.0,5.0,Hobbies , Model Trains & Railway Sets , Lighting & Signal Engineering , Lamps & Lighting
Hornby 00 Gauge 247mm BR Gresley Teak Buffet Coach Model (Blue/ Grey),Hornby,60.25,,2.0,5.0,Hobbies , Model Trains & Railway Sets , Rail Vehicles , Trains
Hornby 00 Gauge BR Peppercorn Class A1 Tornado Mainline Blue Sound Steam Locomotive,Hornby,129.95,3.0,9.0,4.2,Hobbies , Model Trains & Railway Sets , Rail Vehicles , Locomotives
Learning Curve Chuggington Interactive Bridges & Tunnels Starter Set,Chuggington,,1.0,13.0,4.2,Hobbies , Model Trains & Railway Sets , Rail Vehicles , Trains
Hornby R3125 GWR 2-8-0T Class 52XX 00 Gauge Steam Locomotive,Hornby,119.99,,1.0,5.0,Hobbies , Model Trains & Railway Sets , Rail Vehicles , Locomotives
Hornby '00' Gauge R3169 RailRoad GWR 4-6-0 'Olton Hall' 4900 Hall Class Locomotive,Hornby,65.76,9.0,1.0,5.0,Hobbies , Model Trains & Railway Sets , Rail Vehicles , Locomotives
Graham Farish 374-807 BR Mk1 RFO Restaurant Car Crimson & Cream,Graham Farish,26.5,,1.0,4.0,Hobbies , Model Trains & Railway Sets , Rail Vehicles , Trains
30 Ton Bogie Bolster BR Grey With Steel Pipes,RAILWAY - BACHMANN,29.99,,1.0,5.0,Hobbies , Model Trains & Railway Sets , Rail Vehicles , Trains
Hornby R3162A BR 2-BIL 2 Car EMU Pack,Hornby,116.1,5.0,1.0,5.0,Hobbies , Model Trains & Railway Sets , Rail Vehicles , Locomotives
Ratio 610 GWR 4 wheel 3rd class 5 compartment coach,Ratio,11.0,,1.0,5.0,Hobbies , Model Trains & Railway Sets , Rail Vehicles , Trains
Hornby 00 Gauge 152mm BR 0-6-2T Steam Locomotive Model,Hornby,89.99,2.0,1.0,5.0,Hobbies , Model Trains & Railway Sets , Rail Vehicles , Locomotives
Learning Curve Chuggington Interactive Koko,Chuggington,,1.0,21.0,4.2,Hobbies , Model Trains & Railway Sets , Rail Vehicles , Trains
Power Trains 2 Pack - Graffiti Freight,Power Trains,8.99,3.0,1.0,5.0,Hobbies , Model Trains & Railway Sets , Rail Vehicles , Trains
Carousel Wooden Train Set (100 Piece),Carousel,36.35,5.0,8.0,4.1,Hobbies , Model Trains & Railway Sets , Rail Vehicles , Trains
Hornby Model Railway Railroad 0-4-0 Transatlanic Industries Train OO Gauge R3212,Hornby,27.99,,5.0,4.8,Hobbies , Model Trains & Railway Sets , Rail Vehicles , Trains
Piko 36165 35mm Metal Wheels (2 Axles),Piko,20.0,,1.0,5.0,Hobbies , Model Trains & Railway Sets , Rail Vehicles , Trains
Hornby '00' Gauge R3231 BR 0-6-0 J15 Class - Early BR Steam Locomotive,Hornby,105.0,2.0,1.0,5.0,Hobbies , Model Trains & Railway Sets , Rail Vehicles , Locomotives
TRIX T23228,Trix,27.4,,1.0,5.0,Hobbies , Model Trains & Railway Sets , Rail Vehicles , Locomotives
Coal Imitation 00 Gauge,Peptim Scenics,3.95,,1.0,4.0,Hobbies , Model Trains & Railway Sets , Rail Vehicles , Locomotives
Learning Curve Thomas the Tank Duncan,Learning Curve,,2.0,4.0,5.0,Characters & Brands , Thomas & Friends , Train Play , Wooden Thomas
Walthers Trainline 931-1676 TL 50' PD Boxcar ATSF,Walthers Trainline,15.0,2.0,1.0,5.0,Hobbies , Model Trains & Railway Sets , Rail Vehicles , Trains
Preiser 30411 Horse Drawn Box Wagon,Preiser,137.16,,1.0,5.0,Hobbies , Model Trains & Railway Sets , Rail Vehicles , Trains
"Series 225-5000 [Kansai Airport, Kishu-ji Rapid Service] (4-Car Set) (Model Train)",Kato,163.88,5.0,1.0,5.0,Hobbies , Model Trains & Railway Sets , Rail Vehicles , Trains
Lightweight HyDroc,Woodland Scenics,14.57,6.0,1.0,5.0,Hobbies , Model Trains & Railway Sets , Rail Vehicles , Trains
Hornby '00' Gauge R4526 RailRoad Night Mail Operating Mail - GWR Chocolate and Cream Coach,Hornby,21.95,6.0,4.0,4.8,Hobbies , Model Trains & Railway Sets , Rail Vehicles , Trains
Hornby West Coast Highlander,Hornby,49.99,4.0,18.0,4.6,Hobbies , Model Trains & Railway Sets , Rail Vehicles , Trains
Ratio 476 LMS Round Post Signal Kits,Ratio,10.69,2.0,2.0,5.0,Hobbies , Model Trains & Railway Sets , Lighting & Signal Engineering , Signal & Sound
Roco 64722 OBB Railjet Economy Coach V,Roco,49.95,,1.0,5.0,Hobbies , Model Trains & Railway Sets , Rail Vehicles , Trains
N gauge 10-1221 E7 system Hokuriku Shinkansen basic set (3 cars),Kato,70.5,19.0,2.0,5.0,Hobbies , Model Trains & Railway Sets , Rail Vehicles , Locomotives
BR Mk1 SLF Sleeper Car Maroon,RAILWAY - BACHMANN,33.99,2.0,1.0,4.0,Hobbies , Model Trains & Railway Sets , Rail Vehicles , Trains
Kato 23-233 Wooden Station & Buildings,Kato,20.31,35.0,2.0,5.0,Hobbies , Model Trains & Railway Sets , Rail Vehicles , Trains
Peco ST-3 Setrack 1st Radius Standard Curve,Peco,1.95,5.0,2.0,4.5,Hobbies , Model Trains & Railway Sets , Rail Vehicles , Trains
Hornby R3060 RailRoad BR 'Tornado' Class A1 00 Gauge Steam Locomotive,Hornby,79.95,7.0,17.0,4.4,Hobbies , Model Trains & Railway Sets , Rail Vehicles , Locomotives
Hornby 00 Gauge 270mm BR Mk1 Corridor Composite BR Maroon Coach Model,Hornby,19.95,3.0,1.0,4.0,Hobbies , Model Trains & Railway Sets , Rail Vehicles , Trains
Toy Train Set High Speed EMU Toy Train with Flashing Light & Music Kids Toys Gift,ARSUK,5.7,2.0,2.0,4.5,Hobbies , Model Trains & Railway Sets , Rail Vehicles , Trains
Model Railway 'OO' / 'HO' Scale C88 Schools Class Kings Wimbledon Locomotive Plastic Kit,Dapol,9.65,4.0,1.0,5.0,Hobbies , Model Trains & Railway Sets , Rail Vehicles , Locomotives
Hornby Gauge Eurostar 2014 Train Set,Hornby,141.23,9.0,5.0,4.4,Hobbies , Model Trains & Railway Sets , Rail Vehicles , Trains
Corgi 1:50 Fowler Showmans Valiant Pat Collins Amusements on Tour Steam Vehicle Model,Corgi,83.04,7.0,1.0,5.0,Hobbies , Model Trains & Railway Sets , Rail Vehicles , Trains
Power Trains Motorized Train Set Freight Military Engine,Power Trains,21.95,3.0,1.0,5.0,Hobbies , Model Trains & Railway Sets , Rail Vehicles , Trains
Fisher Price Thomas and Friends Take-n-play(TM) Talking James,Fisher Price,16.5,2.0,5.0,5.0,Hobbies , Model Trains & Railway Sets , Rail Vehicles , Trains
Hornby 00 Gauge RailRoad GWR Restaurant Coach Model,Hornby,18.99,6.0,1.0,4.0,Hobbies , Model Trains & Railway Sets , Rail Vehicles , Trains
Kato N Gauge Train Set Case (Kato PlaRail Model Train) [Toy],Kato,11.04,39.0,2.0,5.0,Hobbies , Model Trains & Railway Sets , Rail Vehicles , Trains
20pcs Scale 1/200 Model Single Head Street Lights Lamppost,Generic,4.99,,1.0,5.0,Hobbies , Model Trains & Railway Sets , Lighting & Signal Engineering , Lamps & Lighting
Dapol 2P-000-101 Collett BR Maroon/Crimson 2nd Class W1117,Dapol,22.5,,1.0,5.0,Hobbies , Model Trains & Railway Sets , Rail Vehicles , Trains
Hornby 00 Gauge 270mm BR Mk1 Corridor Second BR Coach Model (Chocolate/ Cream),Hornby,18.12,6.0,1.0,5.0,Hobbies , Model Trains & Railway Sets , Rail Vehicles , Trains
Hornby Gauge Flying Scotsman NRM 2015 Rededication Steam Locomotive,Hornby,169.99,3.0,1.0,4.0,Hobbies , Model Trains & Railway Sets , Rail Vehicles , Locomotives
Hornby R1151 Caledonian Belle 00 Gauge Electric Train Set,Hornby,63.99,18.0,97.0,4.4,Hobbies , Model Trains & Railway Sets , Rail Vehicles , Trains
31-465 Bachmann OO - Class C Wainwright 0-6-0 31579 in BR black with late crest,Bachmann,104.71,4.0,2.0,4.5,Hobbies , Model Trains & Railway Sets , Rail Vehicles , Locomotives
Faller H0 140429 Fairground Ride Rainbow Millennium,Faller,82.76,5.0,5.0,4.0,Hobbies , Model Trains & Railway Sets , Accessories , Recreational Activities
Power Trains Motorized Train Set Freight Industrial Engine,Power Trains,22.95,2.0,1.0,5.0,Hobbies , Model Trains & Railway Sets , Rail Vehicles , Trains
Hornby R2987 Brighton Belle 1934 00 Gauge DCC Ready 2 Car Pack,Hornby,166.04,,1.0,5.0,Hobbies , Model Trains & Railway Sets , Rail Vehicles , Locomotives
Jouef HJ4058 SNCF Type 36 Baggage Coach IV,Jouef,37.09,,1.0,5.0,Hobbies , Model Trains & Railway Sets , Rail Vehicles , Trains
Bachmann 31-137 Class D11/2 6399 Allan-Bane LNER Green,Bachmann,124.93,,1.0,5.0,Hobbies , Model Trains & Railway Sets , Rail Vehicles , Locomotives
Bachmann 37-685 14 Ton Tank Wagon With Large Filler Mex Lamp Oils,Bachmann,12.0,2.0,1.0,5.0,Hobbies , Model Trains & Railway Sets , Rail Vehicles , Trains
Thomas & Friends Trackmaster Diesel 10 Motorised Engine,Thomas & Friends,,1.0,28.0,4.4,Hobbies , Model Trains & Railway Sets , Rail Vehicles , Trains
TRIX T23471 H0 Express coach 1./3. class of K.BAY.STS. B 3. Class,Trix,41.87,,1.0,5.0,Hobbies , Model Trains & Railway Sets , Rail Vehicles , Trains
Kato 10-809 Freight Train 6 Car Set,Kato,,23.0,2.0,5.0,Hobbies , Model Trains & Railway Sets , Rail Vehicles , Locomotives
LMS 60ft Porthole Corridor Composite BR,RAILWAY - BACHMANN,28.98,3.0,1.0,5.0,Hobbies , Model Trains & Railway Sets , Rail Vehicles , Trains
Preiser 30468 Horse Drawn Open Farm Cart,Preiser,20.21,4.0,1.0,5.0,Hobbies , Model Trains & Railway Sets , Rail Vehicles , Trains
Plarail - S-24 Series 485 Limited Express Train (Model Train),Takara Tomy,11.08,38.0,1.0,5.0,Hobbies , Model Trains & Railway Sets , Rail Vehicles , Trains
Corgi 1:120 Scale Rail Legends 'Silver Link' A4 ClassDie Cast Stream Locomotive,Corgi,32.7,4.0,5.0,5.0,Hobbies , Model Trains & Railway Sets , Rail Vehicles , Locomotives
Hornby Gauge Sentinel Barabel Locomotive,Hornby,51.53,4.0,1.0,5.0,Hobbies , Model Trains & Railway Sets , Rail Vehicles , Locomotives
Plan Toys Cargo Train,Plan Toys,15.83,8.0,1.0,5.0,Hobbies , Model Trains & Railway Sets , Rail Vehicles , Trains
Hornby 00 Gauge 510mm BR 2-BIL 2 Car Electric Multiple Unit Train Model,Hornby,107.99,,2.0,5.0,Hobbies , Model Trains & Railway Sets , Rail Vehicles , Trains
Dapol Model Railway BR Mogul Class Locomotive Plastic Kit - OO Scale 1/76,Dapol,11.95,4.0,4.0,4.3,Hobbies , Model Trains & Railway Sets , Rail Vehicles , Locomotives
Dapol 2D-020-002 London Midland Class 153 371,Dapol,100.0,2.0,1.0,4.0,Hobbies , Model Trains & Railway Sets , Rail Vehicles , Locomotives
B Train Shorty DD51 Diesel Locomotive Renewal Car A(Blue) & B(Red) (2-Car Set) (Model Train),Bandai,22.58,9.0,1.0,5.0,Hobbies , Model Trains & Railway Sets , Rail Vehicles , Trains
Dapol Model Railway Signal Gantry Plastic Kit - OO Scale 1/76,Dapol,6.99,5.0,4.0,5.0,Hobbies , Model Trains & Railway Sets , Lighting & Signal Engineering , Signal & Sound
Atlas 22050 Friction-Bearing Trucks (1 Pr),Atlas,4.0,,1.0,5.0,Hobbies , Model Trains & Railway Sets , Rail Vehicles , Trains
Hornby R3119 LMS Duchess Of Abercorn - No Smoke Deflectors 00 Gauge Steam Locomotive,Hornby,119.5,2.0,1.0,5.0,Hobbies , Model Trains & Railway Sets , Rail Vehicles , Locomotives
Plan Toys Fuel Train,Plan Toys,14.2,6.0,1.0,5.0,Hobbies , Model Trains & Railway Sets , Rail Vehicles , Trains
10pcs Scale 1/500 3V Single-Head Model Street Lights Lamppost for Scenary Lighting,Generic,5.99,2.0,1.0,5.0,Hobbies , Model Trains & Railway Sets , Lighting & Signal Engineering , Lamps & Lighting
